tanggal,tahun,bulan,daerah,jumlah_kecelakaan,korban_meninggal,korban_luka_berat,korban_luka_ringan,cuaca,waktu_kejadian,jenis_kendaraan,penyebab_kecelakaan,jenis_jalan,kondisi_jalan,kecepatan_pengendara,geometri_jalan,jenis_kelamin_pengemudi,usia_pengemudi,pengaruh_alkohol
12/12/2021,2021,12,Palembang,2529,436,28,10,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Nasional,Rusak,<40,Lurus,Laki-laki,<17,Tidak
10/19/2021,2021,10,Medan,1919,153,21,3,Cerah,Dini Hari,Bus,Kurang Jarak Aman,Jalan Kota,Baik,>60,Tikungan,Laki-laki,17-25,Tidak
11/29/2022,2022,11,Jakarta Selatan,2106,435,23,46,Cerah,Dini Hari,Motor,Kelalaian Pengemudi,Jalan Provinsi,Rusak,>60,Tikungan,Perempuan,>50,Ya
10/25/2025,2025,10,Jakarta Selatan,3368,142,25,40,Cerah,Pagi,Truk,Kurang Jarak Aman,Jalan Provinsi,Berlubang,40-60,Simpang T,Perempuan,26-45,Ya
1/28/2021,2021,01,Bekasi,2382,406,26,14,Hujan,Pagi,Bus,Kurang Jarak Aman,Jalan Nasional,Rusak,>60,Simpang Y,Laki-laki,26-45,Ya
12/4/2025,2025,12,Jakarta Selatan,2026,148,21,5,Hujan,Siang,Bus,Kelalaian Pengemudi,Jalan Provinsi,Baik,40-60,Tikungan,Laki-laki,<17,Ya
11/21/2022,2022,11,Semarang,3426,467,30,13,Hujan,Malam,Truk,Kecepatan Berlebih,Jalan Kota,Rusak,<40,Simpang T,Perempuan,26-45,Ya
5/17/2024,2024,05,Surabaya,2292,499,28,31,Hujan,Pagi,Bus,Kelalaian Pengemudi,Jalan Provinsi,Baik,<40,Lurus,Perempuan,17-25,Tidak
11/10/2024,2024,11,Jakarta Timur,4088,458,23,46,Hujan,Dini Hari,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,40-60,Lurus,Laki-laki,17-25,Tidak
8/2/2022,2022,08,Bekasi,2607,284,27,37,Hujan,Pagi,Mobil,Kelalaian Pengemudi,Jalan Nasional,Rusak,>60,Tikungan,Laki-laki,17-25,Ya
11/13/2024,2024,11,Palembang,1409,422,25,16,Hujan,Malam,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Lurus,Laki-laki,>50,Ya
4/5/2024,2024,04,Bekasi,1570,383,21,21,Hujan,Dini Hari,Mobil,Kelalaian Pengemudi,Jalan Nasional,Baik,>60,Tikungan,Perempuan,<17,Ya
9/4/2023,2023,09,Bandung,2492,190,20,6,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Nasional,Berlubang,>60,Lurus,Perempuan,>50,Tidak
8/30/2022,2022,08,Bandung,1565,367,28,41,Cerah,Siang,Mobil,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,40-60,Simpang Y,Laki-laki,17-25,Ya
7/13/2024,2024,07,Medan,1802,430,28,14,Hujan,Malam,Mobil,Kelalaian Pengemudi,Jalan Kota,Rusak,40-60,Tikungan,Perempuan,17-25,Tidak
11/21/2024,2024,11,Semarang,3336,124,30,10,Hujan,Malam,Mobil,Kondisi Jalan,Jalan Provinsi,Berlubang,<40,Simpang Y,Perempuan,26-45,Tidak
6/16/2021,2021,06,Bekasi,2201,326,30,28,Hujan,Siang,Motor,Rem Blong,Jalan Provinsi,Rusak,40-60,Tikungan,Laki-laki,<17,Tidak
4/13/2021,2021,04,Jakarta Timur,2787,472,29,5,Cerah,Dini Hari,Bus,Kurang Jarak Aman,Jalan Nasional,Berlubang,>60,Lurus,Laki-laki,<17,Ya
11/29/2021,2021,11,Palembang,3982,456,27,8,Hujan,Siang,Bus,Kondisi Jalan,Jalan Nasional,Baik,40-60,Simpang 4,Perempuan,<17,Ya
10/28/2025,2025,10,Palembang,3624,154,25,21,Hujan,Malam,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,>60,Tikungan,Laki-laki,>50,Tidak
1/18/2022,2022,01,Semarang,4628,159,23,44,Cerah,Pagi,Mobil,Kecepatan Berlebih,Jalan Kota,Berlubang,>60,Simpang T,Perempuan,26-45,Ya
6/9/2022,2022,06,Palembang,4928,424,20,29,Cerah,Pagi,Mobil,Kelalaian Pengemudi,Jalan Provinsi,Rusak,40-60,Simpang Y,Laki-laki,>50,Ya
9/28/2022,2022,09,Yogyakarta,1820,489,23,38,Hujan,Malam,Bus,Kondisi Jalan,Jalan Nasional,Rusak,>60,Tikungan,Laki-laki,>50,Tidak
4/2/2021,2021,04,Bekasi,1851,481,27,37,Hujan,Pagi,Mobil,Kurang Jarak Aman,Jalan Kota,Rusak,<40,Simpang 4,Perempuan,<17,Ya
7/30/2024,2024,07,Bandung,2768,410,22,5,Hujan,Dini Hari,Truk,Kondisi Jalan,Jalan Nasional,Berlubang,>60,Simpang Y,Perempuan,26-45,Ya
6/11/2022,2022,06,Yogyakarta,1444,126,23,37,Hujan,Siang,Mobil,Kondisi Jalan,Jalan Provinsi,Rusak,>60,Tikungan,Laki-laki,>50,Tidak
7/4/2025,2025,07,Surabaya,2626,418,25,34,Hujan,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,<40,Simpang 4,Perempuan,>50,Ya
1/11/2024,2024,01,Yogyakarta,4361,492,20,3,Cerah,Siang,Bus,Kondisi Jalan,Jalan Kota,Berlubang,>60,Simpang 4,Laki-laki,<17,Ya
10/30/2022,2022,10,Surabaya,2720,317,23,7,Cerah,Malam,Motor,Rem Blong,Jalan Nasional,Berlubang,<40,Simpang Y,Laki-laki,26-45,Ya
3/19/2021,2021,03,Jakarta Timur,3694,231,21,15,Hujan,Dini Hari,Truk,Kecepatan Berlebih,Jalan Provinsi,Berlubang,40-60,Simpang Y,Perempuan,26-45,Ya
2/18/2024,2024,02,Palembang,3212,444,27,32,Cerah,Dini Hari,Mobil,Rem Blong,Jalan Provinsi,Berlubang,<40,Simpang 4,Laki-laki,<17,Ya
10/4/2023,2023,10,Jakarta Timur,3523,191,26,31,Cerah,Siang,Bus,Rem Blong,Jalan Provinsi,Baik,<40,Simpang Y,Laki-laki,17-25,Tidak
9/30/2023,2023,09,Jakarta Selatan,2105,438,28,24,Hujan,Malam,Truk,Kurang Jarak Aman,Jalan Kota,Baik,<40,Simpang Y,Laki-laki,>50,Ya
12/26/2024,2024,12,Medan,2763,161,23,7,Cerah,Dini Hari,Bus,Rem Blong,Jalan Kota,Baik,<40,Simpang Y,Perempuan,26-45,Ya
11/24/2021,2021,11,Jakarta Timur,2235,387,29,47,Hujan,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,40-60,Simpang 4,Perempuan,>50,Ya
1/13/2023,2023,01,Semarang,2134,462,24,17,Cerah,Dini Hari,Truk,Kelalaian Pengemudi,Jalan Provinsi,Rusak,40-60,Simpang T,Laki-laki,26-45,Tidak
11/14/2023,2023,11,Yogyakarta,3755,191,25,19,Cerah,Pagi,Motor,Kurang Jarak Aman,Jalan Nasional,Rusak,>60,Simpang T,Laki-laki,<17,Ya
3/12/2025,2025,03,Jakarta Selatan,2105,140,23,45,Hujan,Pagi,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Lurus,Perempuan,17-25,Ya
12/15/2021,2021,12,Bandung,2220,478,30,27,Hujan,Siang,Truk,Kondisi Jalan,Jalan Nasional,Baik,>60,Simpang Y,Laki-laki,<17,Tidak
6/8/2025,2025,06,Jakarta Selatan,3314,216,27,42,Cerah,Pagi,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,>60,Simpang T,Perempuan,26-45,Tidak
7/23/2023,2023,07,Palembang,2738,338,23,7,Hujan,Pagi,Bus,Kurang Jarak Aman,Jalan Kota,Baik,<40,Simpang 4,Laki-laki,>50,Ya
8/16/2025,2025,08,Jakarta Timur,3284,152,21,42,Cerah,Dini Hari,Mobil,Kelalaian Pengemudi,Jalan Nasional,Berlubang,>60,Simpang 4,Perempuan,>50,Tidak
3/15/2021,2021,03,Yogyakarta,2991,466,25,2,Hujan,Siang,Bus,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,>60,Tikungan,Laki-laki,17-25,Tidak
11/2/2024,2024,11,Bekasi,3685,435,22,3,Cerah,Dini Hari,Mobil,Rem Blong,Jalan Nasional,Baik,>60,Simpang T,Laki-laki,26-45,Tidak
2/8/2023,2023,02,Palembang,2681,492,22,68,Cerah,Pagi,Mobil,Kondisi Jalan,Jalan Nasional,Berlubang,>60,Tikungan,Laki-laki,17-25,Tidak
3/4/2022,2022,03,Jakarta Timur,3659,453,21,32,Cerah,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,>60,Lurus,Laki-laki,<17,Ya
10/6/2025,2025,10,Makassar,1085,242,20,49,Hujan,Malam,Bus,Kelalaian Pengemudi,Jalan Nasional,Berlubang,>60,Simpang 4,Laki-laki,26-45,Ya
5/4/2021,2021,05,Bekasi,4253,209,26,25,Cerah,Dini Hari,Motor,Kurang Jarak Aman,Jalan Nasional,Rusak,40-60,Simpang Y,Laki-laki,>50,Tidak
12/1/2025,2025,12,Jakarta Selatan,1190,282,24,12,Cerah,Dini Hari,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,>60,Simpang T,Laki-laki,>50,Ya
9/18/2025,2025,09,Medan,4437,479,20,11,Cerah,Pagi,Truk,Rem Blong,Jalan Nasional,Berlubang,40-60,Simpang T,Perempuan,17-25,Tidak
4/23/2023,2023,04,Semarang,1641,464,26,5,Hujan,Siang,Bus,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,>60,Simpang T,Laki-laki,<17,Ya
8/17/2023,2023,08,Jakarta Timur,3944,215,24,4,Cerah,Malam,Truk,Kelalaian Pengemudi,Jalan Provinsi,Baik,<40,Lurus,Laki-laki,>50,Ya
4/29/2025,2025,04,Surabaya,4722,311,26,5,Cerah,Siang,Truk,Rem Blong,Jalan Nasional,Baik,40-60,Tikungan,Laki-laki,>50,Ya
10/6/2021,2021,10,Yogyakarta,1701,278,25,50,Cerah,Pagi,Truk,Kurang Jarak Aman,Jalan Provinsi,Baik,<40,Simpang T,Laki-laki,<17,Tidak
11/20/2023,2023,11,Semarang,3837,428,29,33,Cerah,Siang,Truk,Kelalaian Pengemudi,Jalan Kota,Baik,<40,Simpang 4,Perempuan,17-25,Tidak
10/26/2023,2023,10,Yogyakarta,2483,200,21,11,Hujan,Siang,Mobil,Rem Blong,Jalan Kota,Baik,<40,Simpang Y,Laki-laki,26-45,Ya
5/1/2022,2022,05,Semarang,1058,199,30,32,Cerah,Pagi,Motor,Kondisi Jalan,Jalan Provinsi,Rusak,40-60,Lurus,Laki-laki,<17,Tidak
10/29/2024,2024,10,Jakarta Selatan,3554,462,25,6,Hujan,Dini Hari,Truk,Kondisi Jalan,Jalan Nasional,Rusak,40-60,Lurus,Perempuan,17-25,Tidak
10/28/2021,2021,10,Bekasi,1724,241,24,17,Cerah,Pagi,Bus,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,>60,Tikungan,Perempuan,17-25,Ya
5/22/2025,2025,05,Semarang,4137,234,20,5,Cerah,Pagi,Truk,Kurang Jarak Aman,Jalan Kota,Rusak,<40,Lurus,Perempuan,<17,Ya
5/10/2023,2023,05,Jakarta Selatan,1414,194,23,51,Cerah,Pagi,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,<40,Simpang 4,Laki-laki,<17,Ya
6/12/2025,2025,06,Makassar,1593,335,26,28,Cerah,Malam,Mobil,Rem Blong,Jalan Nasional,Baik,>60,Tikungan,Perempuan,17-25,Ya
1/17/2021,2021,01,Yogyakarta,4944,464,23,49,Hujan,Dini Hari,Bus,Rem Blong,Jalan Provinsi,Rusak,<40,Simpang T,Perempuan,17-25,Ya
1/1/2022,2022,01,Bekasi,2154,296,25,27,Hujan,Dini Hari,Truk,Kondisi Jalan,Jalan Provinsi,Berlubang,>60,Simpang T,Perempuan,26-45,Ya
1/20/2021,2021,01,Bekasi,3620,414,25,14,Cerah,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,>60,Lurus,Perempuan,26-45,Ya
8/8/2024,2024,08,Semarang,4395,220,29,32,Cerah,Malam,Bus,Kecepatan Berlebih,Jalan Kota,Baik,>60,Lurus,Perempuan,26-45,Ya
11/2/2024,2024,11,Palembang,1191,343,25,63,Hujan,Malam,Truk,Rem Blong,Jalan Nasional,Berlubang,40-60,Simpang T,Perempuan,26-45,Tidak
8/16/2021,2021,08,Jakarta Timur,3471,268,27,41,Hujan,Pagi,Motor,Kecepatan Berlebih,Jalan Nasional,Rusak,40-60,Tikungan,Perempuan,17-25,Ya
2/17/2025,2025,02,Bekasi,1996,195,23,26,Cerah,Pagi,Motor,Kelalaian Pengemudi,Jalan Nasional,Rusak,>60,Lurus,Perempuan,26-45,Ya
6/14/2022,2022,06,Semarang,4780,478,20,19,Hujan,Dini Hari,Mobil,Kondisi Jalan,Jalan Kota,Berlubang,<40,Simpang Y,Laki-laki,17-25,Ya
11/30/2023,2023,11,Palembang,3649,216,24,56,Hujan,Dini Hari,Mobil,Kurang Jarak Aman,Jalan Nasional,Rusak,<40,Simpang 4,Laki-laki,<17,Tidak
11/23/2024,2024,11,Jakarta Selatan,1186,228,24,13,Hujan,Siang,Motor,Kondisi Jalan,Jalan Kota,Berlubang,40-60,Simpang 4,Laki-laki,17-25,Tidak
10/4/2022,2022,10,Jakarta Timur,1400,272,30,41,Cerah,Malam,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,40-60,Lurus,Perempuan,>50,Tidak
9/16/2022,2022,09,Bandung,4511,455,25,26,Cerah,Malam,Mobil,Kecepatan Berlebih,Jalan Kota,Berlubang,<40,Simpang 4,Laki-laki,<17,Ya
4/7/2022,2022,04,Jakarta Selatan,2188,289,22,27,Cerah,Malam,Motor,Kondisi Jalan,Jalan Kota,Rusak,40-60,Lurus,Perempuan,17-25,Ya
10/28/2023,2023,10,Bandung,1030,120,24,53,Cerah,Dini Hari,Mobil,Kondisi Jalan,Jalan Provinsi,Baik,>60,Simpang Y,Laki-laki,<17,Ya
3/19/2025,2025,03,Makassar,1793,150,28,25,Cerah,Siang,Motor,Rem Blong,Jalan Provinsi,Baik,<40,Simpang 4,Laki-laki,17-25,Ya
1/9/2024,2024,01,Bandung,4389,399,22,13,Cerah,Malam,Truk,Rem Blong,Jalan Nasional,Berlubang,40-60,Lurus,Perempuan,<17,Tidak
4/21/2022,2022,04,Bekasi,4939,116,30,5,Cerah,Siang,Motor,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Tikungan,Perempuan,>50,Tidak
1/18/2021,2021,01,Palembang,1800,334,22,23,Cerah,Malam,Truk,Rem Blong,Jalan Kota,Rusak,40-60,Tikungan,Perempuan,<17,Tidak
11/26/2021,2021,11,Bandung,4547,438,21,59,Hujan,Dini Hari,Mobil,Kecepatan Berlebih,Jalan Nasional,Rusak,>60,Simpang T,Perempuan,<17,Tidak
12/18/2025,2025,12,Bekasi,1451,326,22,43,Cerah,Pagi,Mobil,Kondisi Jalan,Jalan Kota,Baik,>60,Simpang 4,Laki-laki,<17,Ya
9/1/2022,2022,09,Palembang,2555,274,28,10,Hujan,Dini Hari,Mobil,Kurang Jarak Aman,Jalan Nasional,Baik,40-60,Simpang T,Laki-laki,>50,Ya
5/22/2024,2024,05,Bekasi,4029,332,29,12,Cerah,Pagi,Bus,Kondisi Jalan,Jalan Nasional,Rusak,>60,Lurus,Laki-laki,17-25,Tidak
8/31/2024,2024,08,Bekasi,4370,317,30,40,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Nasional,Berlubang,<40,Simpang T,Laki-laki,<17,Tidak
12/1/2024,2024,12,Medan,4334,392,30,16,Cerah,Pagi,Truk,Kurang Jarak Aman,Jalan Kota,Baik,40-60,Simpang Y,Laki-laki,26-45,Ya
8/1/2024,2024,08,Jakarta Timur,4948,237,25,11,Cerah,Dini Hari,Truk,Pelanggaran Lalu Lintas,Jalan Kota,Baik,<40,Simpang Y,Perempuan,<17,Tidak
8/4/2023,2023,08,Bandung,2058,397,29,50,Cerah,Malam,Truk,Rem Blong,Jalan Nasional,Berlubang,>60,Tikungan,Perempuan,>50,Ya
1/11/2022,2022,01,Bandung,4314,291,25,11,Hujan,Malam,Truk,Kelalaian Pengemudi,Jalan Kota,Baik,<40,Simpang T,Perempuan,>50,Ya
4/2/2022,2022,04,Jakarta Timur,1193,225,25,5,Hujan,Malam,Bus,Kurang Jarak Aman,Jalan Kota,Berlubang,<40,Lurus,Laki-laki,<17,Tidak
8/23/2022,2022,08,Semarang,1139,141,22,9,Cerah,Dini Hari,Motor,Kecepatan Berlebih,Jalan Kota,Baik,<40,Simpang 4,Laki-laki,>50,Tidak
8/11/2025,2025,08,Medan,3481,452,24,17,Hujan,Siang,Bus,Kelalaian Pengemudi,Jalan Nasional,Rusak,40-60,Tikungan,Laki-laki,17-25,Ya
10/18/2024,2024,10,Semarang,4341,340,24,21,Cerah,Dini Hari,Truk,Kelalaian Pengemudi,Jalan Provinsi,Baik,<40,Simpang 4,Perempuan,17-25,Tidak
1/31/2025,2025,01,Semarang,2958,216,23,44,Cerah,Pagi,Mobil,Rem Blong,Jalan Nasional,Berlubang,<40,Simpang T,Laki-laki,17-25,Tidak
8/8/2025,2025,08,Yogyakarta,3331,156,30,19,Cerah,Siang,Truk,Kecepatan Berlebih,Jalan Nasional,Rusak,40-60,Tikungan,Perempuan,26-45,Ya
7/26/2024,2024,07,Surabaya,1540,424,24,19,Cerah,Dini Hari,Motor,Kondisi Jalan,Jalan Kota,Berlubang,>60,Simpang Y,Perempuan,<17,Ya
10/15/2025,2025,10,Jakarta Timur,4958,496,25,56,Hujan,Dini Hari,Bus,Rem Blong,Jalan Provinsi,Rusak,<40,Simpang Y,Laki-laki,26-45,Tidak
6/25/2023,2023,06,Bandung,1575,176,21,19,Cerah,Malam,Motor,Kondisi Jalan,Jalan Nasional,Berlubang,40-60,Simpang T,Perempuan,<17,Tidak
8/14/2025,2025,08,Palembang,1408,287,20,16,Cerah,Siang,Truk,Kelalaian Pengemudi,Jalan Kota,Rusak,40-60,Simpang T,Perempuan,<17,Ya
1/13/2021,2021,01,Jakarta Selatan,1162,143,21,39,Cerah,Pagi,Truk,Kurang Jarak Aman,Jalan Nasional,Baik,<40,Simpang Y,Laki-laki,<17,Ya
9/5/2022,2022,09,Surabaya,2688,117,20,23,Hujan,Dini Hari,Bus,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,<40,Lurus,Perempuan,<17,Tidak
11/6/2022,2022,11,Jakarta Timur,3325,203,22,6,Hujan,Dini Hari,Bus,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,>60,Lurus,Perempuan,17-25,Ya
2/12/2022,2022,02,Palembang,3493,189,29,70,Cerah,Malam,Mobil,Kelalaian Pengemudi,Jalan Nasional,Berlubang,>60,Simpang Y,Laki-laki,>50,Ya
4/10/2022,2022,04,Medan,2088,111,20,19,Hujan,Dini Hari,Mobil,Kelalaian Pengemudi,Jalan Nasional,Baik,<40,Simpang T,Perempuan,>50,Tidak
6/25/2022,2022,06,Palembang,1178,116,27,47,Cerah,Dini Hari,Mobil,Kurang Jarak Aman,Jalan Provinsi,Baik,>60,Tikungan,Perempuan,26-45,Ya
6/21/2025,2025,06,Yogyakarta,2052,138,22,15,Cerah,Dini Hari,Truk,Kecepatan Berlebih,Jalan Provinsi,Rusak,<40,Tikungan,Laki-laki,<17,Tidak
1/1/2021,2021,01,Palembang,4072,116,21,12,Hujan,Dini Hari,Truk,Rem Blong,Jalan Provinsi,Baik,<40,Lurus,Laki-laki,>50,Tidak
6/28/2025,2025,06,Bekasi,1525,369,26,5,Cerah,Siang,Bus,Kondisi Jalan,Jalan Provinsi,Baik,<40,Lurus,Perempuan,26-45,Ya
5/25/2025,2025,05,Semarang,1337,112,24,8,Cerah,Pagi,Mobil,Rem Blong,Jalan Kota,Berlubang,>60,Tikungan,Laki-laki,<17,Ya
7/10/2025,2025,07,Semarang,1264,179,27,45,Cerah,Pagi,Bus,Rem Blong,Jalan Kota,Rusak,40-60,Simpang T,Laki-laki,>50,Ya
2/13/2025,2025,02,Surabaya,3120,172,25,23,Hujan,Malam,Mobil,Kondisi Jalan,Jalan Provinsi,Rusak,40-60,Simpang Y,Perempuan,<17,Tidak
5/14/2021,2021,05,Medan,2385,140,26,25,Hujan,Pagi,Truk,Kelalaian Pengemudi,Jalan Provinsi,Rusak,40-60,Simpang 4,Laki-laki,>50,Tidak
7/26/2021,2021,07,Semarang,4469,240,21,50,Cerah,Malam,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,40-60,Simpang 4,Perempuan,>50,Ya
12/19/2021,2021,12,Surabaya,1374,390,30,13,Hujan,Pagi,Motor,Kondisi Jalan,Jalan Nasional,Berlubang,40-60,Tikungan,Perempuan,26-45,Tidak
9/1/2022,2022,09,Surabaya,4791,378,21,19,Hujan,Pagi,Bus,Kurang Jarak Aman,Jalan Kota,Berlubang,>60,Lurus,Laki-laki,>50,Tidak
7/29/2023,2023,07,Makassar,3689,185,21,14,Cerah,Malam,Motor,Kondisi Jalan,Jalan Nasional,Baik,40-60,Lurus,Perempuan,26-45,Ya
7/11/2023,2023,07,Medan,4111,444,29,28,Hujan,Pagi,Motor,Kondisi Jalan,Jalan Kota,Baik,<40,Lurus,Perempuan,26-45,Tidak
12/1/2021,2021,12,Palembang,4973,400,23,31,Hujan,Siang,Mobil,Kurang Jarak Aman,Jalan Nasional,Rusak,<40,Tikungan,Perempuan,>50,Ya
2/10/2021,2021,02,Makassar,3868,287,30,3,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Provinsi,Rusak,<40,Simpang 4,Laki-laki,26-45,Tidak
3/20/2022,2022,03,Makassar,3634,410,20,11,Hujan,Dini Hari,Bus,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,40-60,Lurus,Perempuan,17-25,Ya
10/7/2023,2023,10,Jakarta Timur,2165,118,27,30,Cerah,Siang,Mobil,Kondisi Jalan,Jalan Nasional,Rusak,>60,Tikungan,Perempuan,>50,Tidak
8/4/2022,2022,08,Yogyakarta,1232,118,25,11,Cerah,Siang,Motor,Pelanggaran Lalu Lintas,Jalan Kota,Baik,<40,Simpang T,Perempuan,26-45,Ya
1/9/2024,2024,01,Jakarta Selatan,2334,469,30,18,Hujan,Dini Hari,Mobil,Kondisi Jalan,Jalan Kota,Berlubang,>60,Simpang 4,Laki-laki,>50,Tidak
2/27/2023,2023,02,Jakarta Selatan,1234,265,27,25,Cerah,Dini Hari,Mobil,Kurang Jarak Aman,Jalan Provinsi,Baik,>60,Tikungan,Perempuan,26-45,Ya
2/14/2022,2022,02,Jakarta Barat,3213,295,24,13,Hujan,Siang,Bus,Kecepatan Berlebih,Jalan Provinsi,Berlubang,>60,Simpang T,Perempuan,>50,Tidak
2/28/2021,2021,02,Jakarta Barat,4693,475,26,17,Hujan,Siang,Truk,Kurang Jarak Aman,Jalan Kota,Baik,40-60,Simpang 4,Laki-laki,>50,Ya
10/4/2023,2023,10,Jakarta Barat,4609,293,30,22,Cerah,Malam,Bus,Kecepatan Berlebih,Jalan Nasional,Berlubang,>60,Simpang T,Perempuan,>50,Ya
4/15/2025,2025,04,Jakarta Barat,1209,282,21,22,Cerah,Siang,Bus,Kondisi Jalan,Jalan Kota,Berlubang,>60,Simpang Y,Laki-laki,>50,Ya
9/22/2022,2022,09,Jakarta Barat,2927,140,28,16,Hujan,Dini Hari,Bus,Kelalaian Pengemudi,Jalan Provinsi,Baik,<40,Simpang 4,Laki-laki,17-25,Tidak
12/7/2023,2023,12,Jakarta Barat,4595,329,28,30,Hujan,Siang,Truk,Kecepatan Berlebih,Jalan Provinsi,Rusak,<40,Simpang Y,Laki-laki,<17,Tidak
7/26/2022,2022,07,Jakarta Barat,1739,259,24,6,Cerah,Pagi,Motor,Kondisi Jalan,Jalan Kota,Baik,<40,Tikungan,Perempuan,26-45,Tidak
7/19/2023,2023,07,Jakarta Barat,1245,217,27,74,Hujan,Malam,Bus,Kondisi Jalan,Jalan Kota,Berlubang,>60,Simpang Y,Laki-laki,>50,Ya
8/5/2022,2022,08,Jakarta Barat,2288,478,21,11,Cerah,Siang,Motor,Pelanggaran Lalu Lintas,Jalan Kota,Baik,<40,Simpang Y,Laki-laki,17-25,Tidak
12/5/2021,2021,12,Jakarta Barat,1800,272,26,24,Cerah,Malam,Motor,Kecepatan Berlebih,Jalan Kota,Berlubang,<40,Simpang 4,Laki-laki,>50,Ya
10/8/2021,2021,10,Jakarta Barat,4681,350,21,54,Cerah,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Kota,Baik,>60,Simpang Y,Laki-laki,>50,Tidak
5/20/2025,2025,05,Jakarta Barat,1554,102,20,1,Hujan,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,<40,Lurus,Laki-laki,26-45,Tidak
9/14/2022,2022,09,Jakarta Barat,4235,197,25,46,Cerah,Pagi,Motor,Kecepatan Berlebih,Jalan Provinsi,Baik,>60,Simpang T,Laki-laki,<17,Tidak
9/17/2022,2022,09,Jakarta Barat,2532,312,20,7,Cerah,Malam,Truk,Kelalaian Pengemudi,Jalan Kota,Baik,<40,Lurus,Perempuan,26-45,Ya
11/6/2021,2021,11,Jakarta Barat,1213,373,21,32,Hujan,Siang,Bus,Rem Blong,Jalan Kota,Baik,40-60,Lurus,Laki-laki,26-45,Ya
9/1/2021,2021,09,Jakarta Barat,3349,450,30,12,Cerah,Siang,Truk,Kecepatan Berlebih,Jalan Nasional,Rusak,40-60,Simpang T,Laki-laki,26-45,Tidak
5/23/2022,2022,05,Jakarta Barat,1232,191,23,4,Cerah,Malam,Mobil,Kecepatan Berlebih,Jalan Kota,Baik,>60,Simpang T,Laki-laki,17-25,Ya
10/14/2022,2022,10,Jakarta Barat,2609,291,28,14,Cerah,Dini Hari,Bus,Kurang Jarak Aman,Jalan Provinsi,Berlubang,40-60,Simpang Y,Laki-laki,17-25,Ya
1/31/2022,2022,01,Jakarta Barat,2333,332,23,12,Cerah,Siang,Motor,Kecepatan Berlebih,Jalan Provinsi,Baik,>60,Simpang 4,Laki-laki,17-25,Tidak
3/10/2023,2023,03,Jakarta Barat,3556,398,21,13,Cerah,Pagi,Truk,Rem Blong,Jalan Provinsi,Rusak,40-60,Tikungan,Laki-laki,>50,Tidak
11/17/2021,2021,11,Jakarta Barat,3363,449,30,12,Cerah,Pagi,Motor,Kelalaian Pengemudi,Jalan Kota,Baik,<40,Simpang Y,Perempuan,17-25,Ya
4/13/2025,2025,04,Jakarta Barat,3324,235,20,27,Cerah,Pagi,Mobil,Rem Blong,Jalan Provinsi,Baik,40-60,Lurus,Laki-laki,>50,Ya
6/17/2025,2025,06,Jakarta Barat,4453,439,24,30,Hujan,Siang,Truk,Kurang Jarak Aman,Jalan Provinsi,Rusak,40-60,Tikungan,Laki-laki,<17,Tidak
7/27/2024,2024,07,Jakarta Barat,2702,386,23,4,Hujan,Dini Hari,Truk,Kecepatan Berlebih,Jalan Kota,Rusak,>60,Tikungan,Perempuan,17-25,Ya
10/14/2025,2025,10,Jakarta Barat,4763,431,30,4,Cerah,Dini Hari,Mobil,Kelalaian Pengemudi,Jalan Kota,Baik,>60,Lurus,Laki-laki,>50,Ya
3/18/2021,2021,03,Jakarta Barat,4607,427,30,12,Cerah,Siang,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,40-60,Simpang Y,Perempuan,17-25,Tidak
